name,x,y,z
tile_1,-120.0,-8.0,0.0
tile_2,-80.0,-8.0,0.0
tile_3,-40.0,-8.0,0.0
tile_4,-40.0,15.0,3.0
tile_5,0.0,-8.0,0.0
tile_6,40.0,-8.0,0.0
tile_7,80.0,-8.0,0.0
tile_8,-120.0,-48.0,0.0
tile_9,-80.0,-48.0,0.0
tile_10,-40.0,-48.0,0.0
tile_11,0.0,-48.0,0.0
tile_12,40.0,-48.0,0.0
tile_13,80.0,-48.0,0.0
tile_14,-120.0,-88.0,-10.0
tile_15,-120.0,-88.0,-10.0
tile_16,-120.0,-88.0,-10.0
tile_17,-40.0,-88.0,-10.0
tile_18,40.0,-88.0,0.0
tile_19,-120.0,-128.0,-10.0
tile_20,-120.0,-128.0,-10.0
tile_21,-40.0,-128.0,-10.0
tile_22,0.0,-128.0,-10.0
tile_23,40.0,-128.0,-10.0
tile_24,40.0,-128.0,0.0
tile_25,40.0,-128.0,-10.0
tile_26,-120.0,-168.0,-10.0
tile_27,-120.0,-168.0,0.0
tile_28,-120.0,-168.0,0.0
tile_29,-80.0,-168.0,-10.0
tile_30,-40.0,-168.0,-10.0
tile_31,-40.0,-168.0,-10.0
